patent_abstract,patent_date,patent_number,patent_title
None,2017-10-10,D799238,Adjustable baseball bat and sports equipment display
"An adjustable baseball batter's and catcher's helmet automatically adjusts and grips wearer's heads of differing sizes. The helmet has a rigid shell with shock absorbing foam pads secured to the interior of the shell. An elastic band or strap extends horizontally within the helmet and has a mid-portion secured to the back of the helmet. Arms of the elastic strap diverge forwardly and end in attachments under the front portions of the side pads of the helmet. The V-shaped elastic band snugly cradles and forwardly biases the helmet on the wearer's head and tends to space the helmet from the wearer's head at the sides and rear areas. The catcher's helmet is known as a half-hat, and in combination with a catcher's mask, provides the same function as the batter's helmet. The helmet is believed particularly useful in youth baseball leagues which have limited budgets and time to individually fit helmets to players' heads.",1997-12-09,5694649,Adjustable baseball batter's and catcher's helmet with mask
An adjustable baseball batter's helmet automatically adjusts and grips wearer's heads of differing sizes. The helmet has a rigid shell with shock absorbing foam pads secured to the interior of the shell. An elastic band or strap extends horizontally within the helmet and has a mid-portion secured to the back of the helmet. Arms of the elastic strap diverge forwardly and end in attachments under the front portions of the side pads of the helmet. The V-shaped elastic band snugly cradles and forwardly biases the helmet on the wearer's head and tends to space the helmet from the wearer's head at the sides and rear areas. The helmet is believed particularly useful in youth baseball leagues which have limited budgets and time to individually fit helmets to players' heads.,1996-11-19,5575017,Adjustable baseball batter's helmet
"An adjustable batting tee includes a first elongated member attached to a plate member. Slidably positioned on the first elongated member is a second elongated member. The second elongated member is positioned cross-wise with respect to the first elongated member and is rotatable with respect to the first elongated member. The second elongated member is rotatable between at least first and second positions, and an upright member for supporting a baseball is slidably positioned on the second elongated member. The relatively movable members in combination with the rotational second elongated member permits the positioning of a ball provided on the upright member in a variety of locations within a strike zone so as to provide a training apparatus for properly teaching hitting techniques to right-handed and left-handed batters.",1995-02-14,5388823,Adjustable baseball batting tee
"The invention is an article of headwear that incorporates an adjustment system for accommodating individuals with various head dimensions. The headwear may be formed of a crown and a visor. With respect to the crown, the adjustment system includes a first elastic material, which forms a majority of the crown, and a second elastic material, which is screenprinted or otherwise attached to a flap positioned within the crown. Regarding the visor, the adjustment system resides in a visor board configuration wherein slits are formed to separate various portions of the visor board. The slits permit the portions to move relative to each other, thereby permitting the visor to expand to accommodate stretching of the crown.",2007-10-09,7278173,Adjustable baseball cap
"A teaching aid device that helps baseball players learn how to properly swing and hit a ball includes a pair of batting tees placed in a linear pattern parallel to the bat swing. The batter contacts one ball and then the other during one swing. With balls on both tees and the tees at the same height, the hitter is aligned to hit the back or rear baseball up the middle. By hitting the rear ball, and then extending through contact and hitting the front ball, the hitter teaches him or herself to “get extension” through the baseball. If the hitter does not hit the front ball squarely, the device will indicate that he or she does not “follow through”. If the hitter hits the back ball only, this device provides instant feedback that the swing is not level.",2012-09-04,8257202,Adjustable batting practice tee
""" An apparatus including a baseball """"home"""" plate orthogonally mounting a first vertical support that rotatably mounts a """"T"""" shaped conduit, wherein the """"T"""" shaped conduit adjustably receives a vertical tube therethrough. The vertical tube extends forwardly into a further """"T"""" shaped conduit that adjustably mounts a vertical tube therethrough. The vertical tube mounts a resilient sleeve thereon, with the resilient sleeve frictionally receiving a baseball mounting the rigid sleeve therewithin, wherein the upper end of the rigid sleeve is of an arcuate configuration to accommodate a baseball thereon. A pair of spaced abutment rods are mounted forwardly and to each side of the first vertical support post to limit pivotment of the horizontal tube to approximately 120 degrees. """,1991-02-05,4989866,Adjustable batting tee
"An adjustable chest protector to prevent athletic injuries, particularly in baseball. The chest protector is C-shaped in a horizontal plane and designed to fit comfortably and unnoticeably underneath clothing of the user. It is also designed to allow free, unhindered movement by the athlete. The chest protector nevertheless is strong enough to prevent potentially fatal injuries. A portion of the protector is contoured convexly away from the user to assume the natural shape of the user's hemithorax.",1998-04-28,5742947,Adjustable chest protector
"Stereo speakers 30 can be disconnected from a crossover headband 10 and clipped onto a variety of headwear in use today, such as a baseball cap, sweatband or sunvisor. A spring-loaded base piece and socket 24 allows the speaker 30 to adjust at an angle perpendicular to the user's ears and rotate 360 degrees laterally to the ear without removing the speakers from the head.",1992-05-26,5117464,Adjustable clip-on headphones
""" An adjustable baseball-style cap with a closed-back or """"fitted"""" look. The adjustability is provided by a fabric tunnel on the back panel of the cap which slidably receives a flexible strap attached to the cap at one end of the tunnel. A free end of the strap protrudes from the opposite end of the tunnel and engages with the cap via a releasable connector material. The cap can be selectively adjusted to sizes between 6 1/2 and 7 5/8 by adjusting the amount of the strap protruding from the tunnel. """,1996-08-27,5548845,Adjustable closed-back cap
An improved baseball swing trainer is presented where a standard wooden bat is modified with an embedded magnetic speed indicator based on a ball bearing and a magnet. The distance between the magnet and the ball bearing can be adjusted to adjust the amount of swing force necessary to break the ball bearing free. The device is mechanically simple and easy to install in any wooden bat.,2004-12-14,6830520,Adjustable embedded bat speed indicator
"A ball bat grip for improving the gripping action of a batter for baseball or softball, which is useful for left handed or right handed players and which allows the grip to be comfortably adjusted for alignment of the knuckles. The grip includes independent upper and lower grip portions, manually moveable, made of a vinyl, rubber, or rubber-like material for aiding in the gripping power and frictional engagement with a bat surface, whether wood or aluminum bat. The upper and lower grip portions may be installed at the factory or provided with slots for joining the segments onto an existing bat. Finger channels may be included in both the upper and lower grip portions, with the upper grip portion longer, to allow a player to choke up or move the upper hand away from the end of the bat during batting. In an alternative embodiment a single elongated grip is used that can accommodate and receive both hands of the batter. The single elongated grip includes a raised or dome segment, a second embodiment that includes a raised or dome segment with finger grooves, and a third embodiment that includes the raised or dome segment and separating wall for separating fingers.",1998-11-24,5839983,Adjustable grips for a ball bat
An adjustable collar for attachment around a handle such as the handle of a baseball bat. The adjustable collar has a rubber-like strip which has a strap affixed to its outer face. The strap extends past the rubber strip and has a ring at one end and a free end at the other end. The rubber-like strip is pressed against the place on the handle where it is desired to be attached and the free end is passed through the ring and is looped back toward the free end and affixed to the strap by a hook and loop fastener or other removable fastening structure.,2007-01-30,7169069,Adjustable handle grip
"An adjustable headband for a baseball helmet, attached to the helmet over the left and right ears and at the front center of the helmet. The free end of the headband passes around the rear of the wearer's head and through guide or belt loops and through an opening in said helmet, whereby said headband may be adjusted by the wearer while the helmet is being worn. Subsequent to adjustment the headband free end is attached to the outside of the helmet by a Velcro or other conventional fastener. The headband may be made of any suitable material including leather, nylon web, or injection-molded plastic, or any combination thereof.",1992-09-01,5142705,Adjustable headband for baseball helmet
"A children's baseball bat with a pressurizable, external hitting zone to selectively control the trampoline effect when a ball is struck by the bat. The hitting zone is provided by expandable tubing wrapped spirally around the barrel of the bat and connected to a manual air pump built into the handle of the bat to increase air pressure in the tubing. A pressure relief valve connected to the tubing allows the user to decrease air pressure in the hitting zone to control the trampoline effect or to decrease the circumference of the barrel.",2003-04-01,6540627,Adjustable power bat
"An adjustable practice batting tee comprising a planar base, an elongated slotted horizontal support member adapted to moving over the top of the base and attached thereto by an adjustable lock placed within the slot, an L shaped elongated tubular pedestal having a long tubular arm and a short tubular arm and being pivotedly attached by a lock at the apex of the L to one end of the elongated slotted support member such that the pedestal can be pivoted to have one of the tubular arms in a vertical position and the other in a horizontal position and visa versa, the end of both arms being adapted to holding a baseball or softball.",1987-05-12,4664374,Adjustable practice batting tee
"An adjustable rotating resistance exerciser wherein an adjustment knob functions to supply an axial force to a series of interleaved washers and compressible washers to adjust the rotational restriction of a tubular grip handle, which is disposed on an inner collar that is affixed to a tubular handlebar. The exerciser may be configured such that it is adaptable to a riding bicycle or a stationary exercise bicycle or the exerciser may be affixed to various size tubes or bars such that it may be used in any convenient location. A further embodiment of the present invention may be utilized by incorporating the adjustable rotating resistance exerciser with a tabletop unit which can be used by individuals confined to wheelchairs, hospital beds or nursing homes. Furthermore, the tabletop unit may be modified to accept foot plates so that individuals may use the rotational exerciser to exercise ankle and calf muscles. Additionally, the tabletop unit is configured such that it is lightweight, portable and may be easily disassembled for convenient storage. Yet another embodiment provides a floor mounted base that telescopically receives a flexible member which telescopically receives the adjustable rotating resistance exerciser. Still another embodiment provides adjustable rotating resistance exercisers telescopically received and secured to both ends of a flexible member. Another embodiment provides an adjustable rotating exerciser received by a mounting member such as a baseball bat, golf club, tennis racket or the like.",1997-06-03,5634871,Adjustable rotating resistance exerciser
"An adjustable rotating resistance exerciser wherein an adjustment knob functions to supply an axial force to a series of interleaved washers and compressible washers to adjust the rotational restriction of a tubular grip handle, which is disposed on an inner collar that is affixed to a tubular handlebar. The exerciser may be configured such that it is adaptable to a riding bicycle or a stationary exercise bicycle or the exerciser may be affixed to various size tubes or bars such that it may be used in any convenient location. A further embodiment of the present invention may be utilized by incorporating the adjustable rotating resistance exerciser with a tabletop unit which can be used by individuals confined to wheelchairs, hospital beds or nursing homes. Furthermore, the tabletop unit may be modified to accept foot plates so that individuals may use the rotational exerciser to exercise ankle and calf muscles. Additionally, the tabletop unit is configured such that it is lightweight, portable and may be easily disassembled for convenient storage. Yet another embodiment provides a floor mounted base that telescopically receives a flexible member which telescopically receives the adjustable rotating resistance exerciser. Still another embodiment provides adjustable rotating resistance exercisers telescopically received and secured to both ends of a flexible member. Another embodiment provides an adjustable rotating exerciser received by a mounting member such as a baseball bat, golf club, tennis racket or the like.",1998-01-20,5709630,Adjustable rotating resistance exerciser disposed on a flexible member
"Adjustable weight training belt for use with a baseball bat comprising a first layer of flexible material and a hook and loop fastening system. The hook portion of the fastening system connected to one face and the loop portion of the fastening system on the other face, the fastening system being adjustable to adjust the area encircled by the belt. A second layer of flexible material connected to the first layer forming a plurality of pockets between the a face of the first layer and a face of the second layer. A face of the second layer has a high coefficient of friction to resist movement of the belt when placed about the barrel of a baseball bat. A plurality of malleable weights engaged in the pockets, the weights formed to the curved surface of the barrel creating a substantially similar surface profile contributing to the resistance of movement.",2006-10-31,7128667,Adjustable weight training belt for a baseball bat
"An advertising size adjustment strap for a baseball-style cap having a crown body, a visor and a sweat absorbent band attached to the inside periphery of the crown. The size adjustment strap, which is attached to the back portion of the lower periphery of the crown, is formed of a stretchable fabric material or band, a non-stretchable fabric material and a cylinder-shaped fabric material forming a sleeve. The non-stretchable fabric material may be used to display an advertising or decorative portion such as a logo, symbol, emblem, etc. When the wearer puts the cap on, the stretchable fabric material or band expands naturally to fit the wearer, allowing the fabric sleeves to separate and thereby displaying the advertising or decorative portion.",2002-09-10,6446266,Advertising adjustment strap for a cap
"A scoring attachment for a pitchback net of conventional elastic-panel construction provides a mounting bar spaced from the rear face of the panel, and a plurality of target-bearing arms pivoted on the mounting bar. Each of said targets--suitably four in number and marked with the number of hits possible in accord of the rules of baseball, one through four--is faced with a circular aiming disk and is spaced from the mounting bar to provide clearly separate aiming points for a player; each target is also provided with an audible annunciator--suitably a gong--to indicate impact of a ball with sufficient energy to deform the elastic panel against the target and is further provided with spring means urging it into a rest position in a plane parallel to the elastic panel and in line with the location of the mounting bar.",1976-06-15,3963240,Aiming and scoring attachment for pitchback nets
NULL,2000-10-17,D432225,Air freshener in the shape of a baseball jersey
None,2007-01-09,D535006,Air freshener in the shape of a baseball jersey
"A baseball glove for protecting a hand and for enabling the wearer to catch a ball. The glove includes a front panel having inner and outer plies and a back panel joined to the front panel. A pad of open cell foam material is disposed between the inner and outer plies. The pad, which includes first and second opposed surfaces and an edge surface, has the major portion of the pad surfaces rendered impervious to the flow of air. One or more vents in at least one of the pad surfaces provides for the passage of air therethrough at a rate allowing the pad to substantially absorb the force of impact of a ball.",1995-03-21,5398342,Air management baseball glove
"Provided is a baseball cap-type headwear in which a peak is provided in a front lower end of a head circumferential portion and a crown is connected to an upper end of the head circumferential portion, in which a front portion of the head circumferential portion is formed as an inclined surface that widens in an outward direction of the headwear as the inclined surface advances toward a lower end, a void is formed between the peak and the head circumferential portion, and the central portion of one end of the peak is positioned on an inner side of the headwear more than the front lower end of the head circumferential portion, and at least the front portion of the head circumferential portion and the peak are integrally molded from a synthetic resin.",2016-08-23,9420839,Air permeable headwear
"Apparatus for propelling balls smaller than a baseball, such as a golf whiffle ball, at timed intervals from a storage bin. The bin contains a plate with a single hole that rotates at timed intervals and permits one ball to be delivered to a continuous air source to propel the ball to a batter. This small ball is then hit with a bat that is smaller and lighter in weight, than an ordinary baseball bat. By design, the storage bin has a mix unit in it to prevent the balls from forming a gridlock or jamming, thereby preventing normal timed operation.",1998-10-20,5823894,Air-actuated ball-throwing and batting method
"Apparatus for propelling balls smaller than a baseball, such as a golf whiffle ball, at timed intervals from a storage bin. The bin contains a plate with a single hole that rotates at timed intervals and permits one ball to be delivered to a continuous air source to propel the ball to a batter. This small ball is then hit with a bat that is smaller and lighter in weight, than an ordinary baseball bat. By design, the storage bin has a mix unit in it to prevent the balls from forming a gridlock or jamming, thereby preventing normal timed operation.",1996-04-16,5507271,Air-actuated ball-throwing device and method therefor
"A light-weight, air-pressurized baseball bat useable by children to strike a ball, the bat having an enhanced striking power. The bat comprises striker and handle sections joined together by a coupler. The striker section is defined by a shell of synthetic plastic material whose shape is similar to that of a standard two-liter soda bottle. The shell is adapted to envelop a charge of compressed air and is provided with a half neck in which a valve plug is installed whose inlet projects therefrom. The handle section is provided at its upper end with a half neck that complements that of the striker section, the two-half necks being clamped together by the coupler which has a port therein to accommodate the valve inlet. By injecting compressed air into the striker section through the valve, the compressed air enveloped by the shell functions as a trampoline which when the ball impinges on the shell then acts to boost the rebound of the ball, thereby enhancing the striking power of the bat.",1998-10-27,5827142,Air-pressurized baseball bat
"A training device for use by baseball players to help correct certain undesirable arm motion technique which might lead to catastrophic injury. The device utilizes one or more gravity-activated switches connected in a circuit within a case of a strap-on assembly. The gravity activated switches are oriented a specific way within the case, and the case strapped to a specific location of the arm so that certain undesirable arm motion will cause the gravity actuated switch to close and an alarm buzzer to sound. Conversely, the switch may be oriented so that the buzzer only sounds if the correct technique is practiced. The device is particularly useful in a preferred training method for baseball pitchers.",1994-10-11,5354050,Alarm device for teaching the correct mechanics for throwing a baseball
NULL,1990-11-13,D312095,Album for containing baseball cards
"An album sleeve for storing and displaying at least one baseball card. The sleeve is created from a rectangular blank of transparent plastic film having three transverse fold lines whose parallel positions are such that when the blank is folded on the first line, it then defines a front panel overlying a rear panel. The second fold line is adjacent the end of the front panel to define a broad flap section which is folded over the back of the rear panel to complete the sleeve. The third fold line is adjacent the end of the rear panel to define a narrow flap section that is folded down to form an expandable internal pocket, the pocket being spaced from the second fold line to define a sleeve border that is hole punched so that the sleeve may be retained in a loose-leaf ring binder. The sleeve dimensions are such as to snugly accommodate a baseball card whose edge is received in the pocket and whose lower edge is at the fold between the front and rear panels, whereby the card is prevented from falling out of the sleeve.",1994-06-28,5323553,Album sleeve for baseball cards
"Eyeglasses to aid a wearer, especially athletes or participants in sports, to diminish the input from his or her occulo-vestibular reflexes and provide immediate visual feedback concerning alignment while he or she is performing any motor coordinated skill or movement. More particularly, the eyeglasses have one or more substantially straight visible transparent lines on one or both of the eyepieces which appear to be superimposed on the view through the line or lines. Each line is substantially parallel to the horizontal or vertical axis of its eyepiece. This line or lines enable the wearer of the eyeglasses to readily check alignment of the body, head, hands and/or a held object with a viewed object, e.g. a golf ball, a pitched baseball, a bowling pin, a basketball, etc. and aid the wearer to make alignment corrections if necessary. The lines may be clear or tinted and defined by tinted areas formed by pigments penetrating to a very shallow depth from only one of the front and back surfaces of the corresponding eyepiece. A simplified process is presented for tinting those areas.",1993-01-05,5177510,Alignment eyeglasses
NULL,2001-04-17,D440407,All star baseball picture frame and storage
"An allstar baseball game is provided and consists of a baseball game played on a playing board with each player picking a set of baseball picture player cards to represent batters in the play of the game, playing pieces to be used on the playing board and an instruction chart of possible occurrences of baseball batting action depending upon the roll of a die.",1987-03-31,4653755,All stars baseball
"An all-in-one slider sport pants is disclosed that protects the leg, thigh, hip and buttocks area of a softball player sliding into base. The pants can be made either in baseball-pants length, or in a shorter version, and have a thin, foam padding encircling substantially three-quarters of the player's thigh and leg and covering the hip area and most of the buttocks, sewn between layers of a double knit, polyester material. The waistband is constructed with a wider-than-normal elastic material and double snaps and zipped fly to give secure, yet comfortable, fit. The foam padding can be made of synthetic foam rubber or foam plastic and is sewn, using polyester thread and zig-zag stitching, in between the outer polyester layer and the inner layer at the waist band, the side seams and along longitudinal seams down both front and back sides of the legs to prevent slipping or bunching thereof during body movement or laundering.",1991-01-29,4987613,All-in-one slider sport pants
None,2012-08-28,D665991,Aluminum baseball bat cane
""" An aluminum baseball or softball bat warmer with an inner and outer container separated by an air space. The inner container is adapted to receive a bat and is supported inside the outer container on a hanger with an aperture. A convective thermal source is positioned below the hanger. Warmed air from the convective thermal source is directed through the aperture in the hanger and circulates through the air space, warming the sidewall of the inner container and the bat therein. By heating the aluminum bat, the possibility of cold denting and cracking thin walled aluminum bats formed of """"CU-31"""" alloy, """"C405"""" alloy or like, is reduced. """,1997-11-18,5687705,Aluminum baseball or softball bat warmer
"A glove for catching a baseball, a softball, or the like, which comprises a main body for receiving the user's hand, and a ball catching member disposed between thumb and forefinger portions. Connecting portions are provided in the ball catching member and include a plurality of holes arranged along a longitudinal direction of the user's fingers for receiving a strap which interconnects the thumb and the forefinger portions and the main body. A plurality of holes arranged along the longitudinal direction of the user's fingers are provided in lines between the thumb and forefinger portions for selectively receiving the strap.",1995-01-10,5379460,An adjustable ball catching apparatus
"The object of this invention is to provide a novel pharmaceutical composition for getting rid of pains and anxiety in patients. This invention relates to a pharmaceutical composition containing lactoferrin as an active ingredient. The composition of this invention is useful for treatment of at least one disease or condition selected from the group consisting of pains, including the phase 1 pain and the phase 2 pain, anxiety and stress. The composition is particularly beneficial to alleviating or getting rid of the pain and anxiety which significantly lower quality of life of patients with end-stage cancer. The composition of this invention is also useful for treatment of pains, including the phase 1 pain and the phase 2 pain, and inflammation which accompany arthritis or diseases in the junctions of bones (e.g. rheumatoid arthritis, osteoarthritis, frozen shoulder, sports injuries such as tennis elbow and baseball shoulder, and low back pain).",2013-03-19,8399414,Analgesics
"An anatomical head-worn device is provided in the form of a bill cap, also known as a baseball cap. The cap includes one or more tension-device anchors for accommodating the attachment of orthodontic tension-applying devices used to direct tension force to selected parts of the head and mouth. The orthodontic forces are reacted against the head via the cap. The cap, when fitted snugly on the head, serves as a stable force base for applying forces in different directions on each side of the head. In one embodiment, tension-device anchors are mounted on the sides of the dome of the cap. In another embodiment, a downwardly-depending arm is supported on the bill of the cap. The arm extends in front of the face, and provides an anchor point for the application of protractive orthodontic foces. Use of an elastomeric orthodontic tension-applying device with the rigid arm extending in front of the face is also disclosed, including systems for non-positive engagement between the tension-applying device and the rigid arm. The non-positive engagement permits the instant release of orthodontic tension force if a mishap should occur which might otherwise injure the wearer. A releasable hook for securing a tension-applying device to only one side of the downwardly depending arm is also disclosed. In yet another embodiment of the cap, the tension-device anchors are mounted on the bill of the cap, which can then be worn backwards on the head to apply retractive orthodontic forces. The use of a bill cap makes the wearing of exterior orthodontic devices more socially acceptable to children and others, encouraging the user to accept needed orthodontic corrections.",1993-04-20,5203694,Anatomical head-worn device for applying orthodontic force
"An anchoring device and baseball base combination, wherein the anchor device is a peg having a lower end for insertion into the ground and an upper end having a curved opening, which engage an integral closed loop which receives a strap connected to the baseball base for securing the baseball base to the ground.",1993-11-23,5263710,Anchoring device for an object
"Audio/video programming content is made available to a receiver from a content provider, and meta data is made available to the receiver from a meta data provider. The meta data corresponds to the programming content, and identifies, for each of multiple portions of the programming content, an indicator of a likelihood that the portion is an exciting portion of the content. In one implementation, the meta data includes probabilities that segments of a baseball program are exciting, and is generated by analyzing the audio data of the baseball program for both excited speech and baseball hits. The meta data can then be used to generate a summary for the baseball program.",2006-04-11,7028325,Annotating programs for automatic summary generation
"Audio/video programming content is made available to a receiver from a content provider, and meta data is made available to the receiver from a meta data provider. The meta data corresponds to the programming content, and identifies, for each of multiple portions of the programming content, an indicator of a likelihood that the portion is an exciting portion of the content. In one implementation, the meta data includes probabilities that segments of a baseball program are exciting, and is generated by analyzing the audio data of the baseball program for both excited speech and baseball hits. The meta data can then be used to generate a summary for the baseball program.",2009-11-17,7620552,Annotating programs for automatic summary generation
"Audio/video programming content is made available to a receiver from a content provider, and meta data is made available to the receiver from a meta data provider. The meta data corresponds to the programming content, and identifies, for each of multiple portions of the programming content, an indicator of a likelihood that the portion is an exciting portion of the content. In one implementation, the meta data includes probabilities that segments of a baseball program are exciting, and is generated by analyzing the audio data of the baseball program for both excited speech and baseball hits. The meta data can then be used to generate a summary for the baseball program.",2008-07-22,7403894,Annotating programs for automatic summary generations
"A glove device for use in swinging a baseball bat and the like, including a back portion and palm portion joined together to form a hand conforming glove. Also included are digital sheaths attached to the glove and aligned to cover at least a portion of at least the thumb and the index finger. The device has a control spacer forming part of the palm and the digital sheaths, and has sufficient thickness to shift control over gripping a bat to the remaining fingers of the hand.",1992-12-08,5168578,Anti-jam glove
A collapsible device used in marking the batter's box on a playing surface of a baseball field. The device uses a first frame half and a second frame half. Each frame half has an elongated side with first and second ends. A first arm with an inwardly disposed end is pivotally connected to the first end of the elongated side and an outwardly disposable end that is movable between an extended position and a closed position located against the elongated side. A second arm with an inwardly disposed end is pivotally connected to the second end of the elongated side and an outwardly disposable end that is movable between an extended position and a closed position that is located against the elongated side. A first hinge pivotally connects the outwardly disposable end of the first arm of the first frame half to the outwardly disposable end of the first arm of the second frame half. A second hinge pivotally connects the outwardly disposable end of the second arm of the first frame half to the outwardly disposable end of the second arm of the second frame half so that the first and second arms of the first and second frame halves are movable to the closed position. A storage container supports the collapsible device while in the collapsed position.,1997-03-18,5611736,Apparatus and device used in marking a batter's box
"A bunt training device includes a shield with opposite ends which is mounted to a baseball or softball bat using one or more straps. The device is mounted on the bat in a position which allows a batter to slide his or her top hand to the end of the device adjacent the barrel of the bat for bunting practice. The shield protects the batter's top hand from a pitched ball and thereby eliminates or reduces the fear a batter may have when bunting. The device may be formed as a separate shield to be mounted on a conventional bat, or the shield and bat can be formed as a single unit for bunting practice.",2014-12-09,8905871,Apparatus and method for bunt training
"An apparatus to aid and simplify collection of substantially non-deformable balls scattered across a field or small area, and to provide a place for easy storage and retrieval. The apparatus utilizes stretchable and resilient members located in a ball intake area to transfer the substantially non-deformable balls from the ground or surface, into the apparatus. This disclosure describes methods, specific devices, and mechanisms embodying the present invention and useful in the collection or storage of baseball-like objects, and which provides easy access to stored baseball-like objects.",2011-01-11,7866719,"Apparatus and method for collection, storage, and access of baseball-like objects"
"A sole of a baseball spiked shoe has a toe portion projection, a first metatarsal head projection, a stepping portion projection, and a fifth metatarsal head projection provided at a fore foot portion at the bottom plane of the shoe sole, and a heel medial projection, a heel anterior projection, a heel posterior projection, and a heel lateral projection provided at the heel portion. Each projection is provided at an appropriate angle with respect to the longitudinal line of the foot.",2001-02-13,6186000,Apparatus and method for measuring shearing stress distribution on the sole of a spiked shoe
A method and apparatus for practicing hitting a ball with a striking instrument. The apparatus comprises a ball having a portion which extends outwardly from the spherical body of the ball and which is driven into the ball when the ball is struck correctly with a striking instrument.,2000-04-18,6050907,Apparatus and method for practicing hitting a baseball
Pitching apparatus delivers a sequence of different kinds of pitches to a batter and prevents a batter from ascertaining from the position of the pitching apparatus the kind of pitch which the apparatus will deliver.,2003-01-21,6508243,Apparatus and method for practicing hitting a baseball
"An apparatus and method for the creation and covering of holes on golf greens and the like is disclosed, designed as a system and method by which holes in natural or synthetic playing surfaces can be created and then covered when not in use. The present invention comprises an hollow, cylindrical insert. One end of the insert is open. Holes are located on the other end to allow water to pass out of the insert. The insert is placed permanently into the ground at a location where a hole is desired by pressing the insert into a hole created by a standard auger tool. A pointed protrusion keeps the insert from rotating once the insert is placed in the ground. The insert is designed to be used as a golf cup on a green or with stanchion supports for other sporting equipment that may be used with soccer, baseball, football, and the like. A flat, circular cap screws into the top of the insert. The cap has a covering of synthetic grass which matches the surrounding surface area. The cap is screwed onto and off of the insert via cap rotation means.",2001-07-31,6267688,Apparatus and method for the creation and covering of holes on golf greens and the like
