patent_abstract,patent_date,patent_number,patent_title
A supervised procedure for obtaining weight values for back-propagation neural networks is described. The method according to the invention performs a sequence of partial optimizations in order to determine values for the network connection weights. The partial optimization depends on a constrained representation of hidden weights derived from a singular value decomposition of the input space as well as an Iterative Least Squares optimization solution for the output weights.,1993-07-13,5228113,Accelerated training apparatus for back propagation networks
"A method of accelerating the training of an artificial neural network uses a computer configured as an artificial neural network with a network input and a network output, and having a plurality of interconnected units arranged in layers including an input layer and an output layer. Each unit has a multiplicity of unit inputs and a set of variables for operating upon the unit inputs to provide a unit output. A plurality of examples are serially provided to the network input and the network output is observed. The computer is programmed with a back propagation algorithm for adjusting each set of variables in response to feedback representing differences between the network output for each example and the desired output. The examples are iterated while those values which change are identified. The examples are reiterated and the algorithm is applied to only those values which changed in a previous iteration.",1990-03-27,4912649,Accelerating learning in neural networks
"An apparatus is described herein. The apparatus comprises an accumulator, a controller, and a convolutional neural network. The accumulator is to accumulate a plurality of values within a predetermined bit width. The controller is to determine a parameter quantization and a data quantization. The convolutional neural network is adapted to the data quantization, wherein a quantization point is selected based on the parameter quantization, data quantization, and accumulator bit width.",2018-03-13,9916531,Accumulator constrained quantization of convolutional neural networks
"Approaches for accurate neural network training for library-based critical dimension (CD) metrology are described. Approaches for fast neural network training for library-based CD metrology are also described. In an example, a method includes optimizing a threshold for a principal component analysis (PCA) of a spectrum data set to provide a principal component (PC) value, estimating a training target for one or more neural networks, training the one or more neural networks based both on the training target and on the PC value provided from optimizing the threshold for the PCA, and providing a spectral library based on the one or more trained neural networks.",2013-11-05,8577820,Accurate and fast neural network training for library-based critical dimension (CD) metrology
"Embodiments are generally directed to neural network training for library-based critical dimension metrology. An embodiment of a method includes optimizing a threshold for a principal component analysis of a spectrum data set to provide a principal component value, estimating a training target for one or more neural networks, training the one or more neural networks based both on the training target and on the principal component value provided from optimizing the threshold for the principal component analysis, and providing a spectral library based on the one or more trained neural networks.",2017-03-28,9607265,Accurate and fast neural network training for library-based critical dimension (CD) metrology
Systems and methods using a neural network based portable absorption spectrometer system for real-time automatic evaluation of tissue injury are described. An apparatus includes an electromagnetic signal generator; an optical fiber connected to the electromagnetic signal generator; a fiber optic probe connected to the optical fiber; a broad band spectrometer connected to the fiber optic probe; and a hybrid neural network connected to the broad band spectrometer. The hybrid neural network includes a principle component analyzer of broad band spectral data obtained from said broad band spectrometer.,2000-05-02,6058352,Accurate tissue injury assessment using hybrid neural network analysis
"A system for real-time analysis of weld quality in an arc welding process. he system includes a transducer which receives acoustic signals generated during the welding process. The acoustic signals are then sampled and digitized. A signal processor calculates the root mean square and peak amplitudes of the digitized signals and transforms the digitized signal into a frequency domain signal. A data processor divides the frequency domain signal into a plurality of frequency bands and calculates the average power for each band. The average power values, in addition to the peak and root mean square amplitude values, are input to an artificial neural network for analysis of weld quality. Arc current and/or arc voltage signals may be input to the A/D converter alone or in combination with the acoustic signal data for subsequent signal processing and neural network analysis.",1995-09-05,5448503,Acoustic monitor
"A method and apparatus for identifying running vehicles in an area to be monitored using acoustic signature recognition. The apparatus includes an input sensor for capturing an acoustic waveform produced by a vehicle source, and a processing system. The waveform is digitized and divided into frames. Each frame is filtered into a plurality of gammatone filtered signals. At least one spectral feature vector is computed for each frame. The vectors are integrated across a plurality of frames to create a spectro-temporal representation of the vehicle waveform. In a training mode, values from the spectro-temporal representation are used as inputs to a Nonlinear Hebbian learning function to extract acoustic signatures and synaptic weights. In an active mode, the synaptic weights and acoustic signatures are used as patterns in a supervised associative network to identify whether a vehicle is present in the area to be monitored. In response to a vehicle being present, the class of vehicle is identified. Results may be provided to a central computer.",2012-02-07,8111174,Acoustic signature recognition of running vehicles using spectro-temporal dynamic neural network
"Tasks such as object classification from image data can take advantage of a deep learning process using convolutional neural networks. These networks can include a convolutional layer followed by an activation layer, or activation unit, among other potential layers. Improved accuracy can be obtained by using a generalized linear unit (GLU) as an activation unit in such a network, where a GLU is linear for both positive and negative inputs, and is defined by a positive slope, a negative slope, and a bias. These parameters can be learned for each channel or a block of channels, and stacking those types of activation units can further improve accuracy.",2018-02-13,9892344,Activation layers for deep learning networks
"Active vibration control (AVC) systems without online path modeling and controller adjustment are provided that are able to adapt to an uncertain operating environment. The controller (250, 280, 315, 252, 282, 317, 254, 319) of such an AVC system is an adaptive recursive neural network whose weights are determined in an offline training and are held fixed online during the operation of the system. AVC feedforward, feedback, and feedforward-feedback systems in accordance with the present invention are described. An AVC feedforward system has no error sensor and an AVC feedback system has no reference sensor. All sensor outputs of an AVC system are processed by the controller for generating control signals to drive at least one secondary source (240). While an error sensor (480, 481) must be a vibrational sensor, a reference sensor (230, 270, 295, 305, 330) may be either a vibrational or nonvibrational sensor. The provided AVC systems reduce or eliminate most of such shortcomings of the prior-art AVC systems as use of an error sensor, relatively slow convergence of a weight/waveform adjustment algorithm, frequent adjustment of a path model, use of a high-order adaptive linear transversal filter, instability of an adaptive linear recursive filter, failure to use a useful nonvibrational reference sensor, failure to deal with the nonlinear behavior of a primary or secondary path, weight adjustment using control predicted values, use of an identification neural network, and online adjustment of the weights of a neural network.",2003-07-29,6601054,Active acoustic and structural vibration control without online controller adjustment and path modeling
"Disclosed are an active delay method and an improved wireless binaural hearing device. The binaural hearing device includes: a first hearing device including a first microphone, an amplifier and a wireless transmitter; and a second hearing device including a second microphone, an amplifier, a wireless transmitter, a wireless receiver which receives a signal from the wireless transmitter, an active delay circuit which synchronizes the received signal with a signal acquired by the second microphone, a neural network which synchronizes the delayed signal, and a speaker which converts the synchronized signal into a voice signal. With this configuration, it is possible to prevent incorrect detection of the position of the sound source or paralalia due to a time delay which is produced in the wireless binaural hearing device and reduce noises due to a time difference between both hearing devices, thereby providing a binaural hearing device with high quality.",2015-03-24,8989394,Active delay method and a improved wireless binaural hearing device using the same method
"The present invention is predicated upon the fact that an emission trace from a plasma glow used in fabricating integrated circuits contains information about phenoma which cause variations in the fabrication process such as age of the plasma reactor, densities of the wafers exposed to the plasma, chemistry of the plasma, and concentration of the remaining material. In accordance with the present invention, a method for using neural networks to determine plasma etch end-point times in an integrated circuit fabrication process is disclosed. The end-point time is based on in-situ monitoring of the optical emission trace. The back-propagation method is used to train the network. More generally, a neural network can be used to regulate control variables and materials in a manufacturing process to yield an output product with desired quality attributes. An identified process signature which reflects the relation between the quality attribute and the process may be used to train the neural network.",1995-11-21,5467883,Active neural network control of wafer attributes in a plasma etch process
"The present invention is predicated upon the fact that an emission trace from a plasma glow used in fabricating integrated circuits contains information about phenoma which cause variations in the fabrication process such as age of the plasma reactor, densities of the wafers exposed to the plasma, chemistry of the plasma, and concentration of the remaining material. In accordance with the present invention, a method for using neural networks to determine plasma etch end-point times in an integrated circuit fabrication process is disclosed. The end-point time is based on in-situ monitoring of the optical emission trace. The back-propagation method is used to train the network. More generally, a neural network can be used to regulate control variables and materials in a manufacturing process to yield an output product with desired quality attributes. An identified process signature which reflects the relation between the quality attribute and the process may be used to train the neural network.",1998-04-07,5737496,Active neural network control of wafer attributes in a plasma etch process
"The present invention is predicated upon the fact that a process signature from a plasma process used in fabricating integrated circuits contains information about phenomena which cause variations in the fabrication process such as age of the plasma reactor, densities of the wafers exposed to the plasma, chemistry of the plasma, and concentration of the remaining material. In accordance with the present invention, a method for using neural networks to determine plasma etch end-point times in an integrated circuit fabrication process is disclosed. The end-point time is based on in-situ monitoring of at least two parameters during the plasma etch process. After the neural network is trained to associate a certain condition or set of conditions with the endpoint of the process, the neural network is used to control the process.",1997-08-05,5653894,Active neural network determination of endpoint in a plasma etch process
"Noise data from a noise source is provided for a neural network. An output signal from the neural network is provided for a node of a hidden layer H of the neural network. The weight of the neural network is updated by an update unit according to an error signal e.sub.j0 detected by a microphone, thereby outputting a deadening sound from a speaker.",1999-09-07,5949890,Active noise control apparatus and waveform transforming apparatus through neural network
"An improved active vibration control system using feedback and pseudo-feedforward sensor inputs is provided for solving the problem of random and repetitive active vibration control and noise cancellation in a system. In a first embodiment of the invention, an artificial neural network is used for learning the dynamics of a structure and for providing output signals that follow the state variables of the structure. In one implementation of the neural network, a plurality of neurons obtain biasing inputs derived from sensor inputs, as well as inputs from the other neurons in the network. Further, each neuron obtains a feedback input from itself. Each input to a neuron is weighted using a weighting function derived on-line. The neural network supplies structure parameters and state variables to an optimal controller which derives and provides a control signal to the actuators so as to counteract vibrations and/or noise sensed in the system. In a second embodiment an optimal controller utilizing a modified generalized predictive control algorithm is used to to consider the limitations on the physical characteristics of the actuator(s), on-line, in terms of the output level and the rate of change of the output in the system. Additional embodiments wherein an optimized control signal is sent to the actuator(s) to minimize vibration incident to the structure are provided.",2000-10-24,6137886,Active vibration control method and apparatus
"Various technologies and techniques are disclosed for improving handwriting recognition using a neural network by allowing a user to provide samples. A recognition operation is performed on the user's handwritten input, and the user is not satisfied with the recognition result. The user selects an option to train the neural network on one or more characters to improve the recognition results. The user is prompted to specify samples for the certain character, word, or phrase, and the neural network is adjusted for the certain character, word, or phrase. Handwritten input is later received from the user. A recognition operation is performed on the handwritten input using the neural network that was adjusted for the certain character or characters.",2010-04-20,7702145,Adapting a neural network for individual style
"The invention describes a method and apparatus for effectively communicating data along the acoustic channel of a subterranean well. The method comprises optimally driving an acoustic transmitter with an adaptive transmitter controller. A data signal is transmitted along the acoustic channel and detected as a distorted signal along the acoustic channel. The distorted signal is input to the adaptive transmitter controller which, based on the detected signal, modifies later transmissions to counteract the distorting effects of the transmitter and acoustic channel. The adaptive transmitter controller preferably comprises a neural network. Another receiver may be employed, at a point further from the transmitter, to receive the optimized signals.",2005-08-23,6933856,Adaptive acoustic transmitter controller apparatus and method
An adaptive agent including an artificial neural network having a plurality of input nodes for receiving input signals and a plurality of output nodes generating responses. A situation value unit receives a plurality of the responses and generating a situation value signal. A change sensor coupled to receive the situation value signal generates an output signal representing a change of the situation value signal from a prior time to a current time. A connection coupling the change sensor output to one of the input nodes of the artificial neural network.,2002-04-02,6366896,Adaptive agent using neural network
"An adaptive anti-collision method for vehicles has steps of creating multiple driving patterns with each driving pattern corresponding to a vehicle speed, a safe distance and a braking distance parameter, such as longer safe distance configured for faster vehicle speed, and higher vehicle speed or shorter safe distance for different road condition, acquiring dynamic information, such as vehicle speed or acceleration, of the vehicle using sensors on the vehicle, combining the dynamic information and drivers' driving behavior to determine a driving pattern through a statistical analysis and a neural network, adjusting control parameters of the vehicle according to the driving pattern for an electronic control unit of the vehicle to issue an alert or activate a braking action according to the driving pattern. Accordingly, the anti-collision method can be adapted to different vehicle speed, road condition and drivers' driving habits for adjusting the safe distance and the braking system.",2016-02-09,9254824,Adaptive anti-collision method for vehicle
"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for neural network adaptive beamforming for multichannel speech recognition are disclosed. In one aspect, a method includes the actions of receiving a first channel of audio data corresponding to an utterance and a second channel of audio data corresponding to the utterance. The actions further include generating a first set of filter parameters for a first filter based on the first channel of audio data and the second channel of audio data and a second set of filter parameters for a second filter based on the first channel of audio data and the second channel of audio data. The actions further include generating a single combined channel of audio data. The actions further include inputting the audio data to a neural network. The actions further include providing a transcription for the utterance.",2018-02-06,9886949,Adaptive audio enhancement for multichannel speech recognition
"A system including a learning module and an algorithmic module for learning a physiological aspect of a patient body and regulating the delivery of a physiological agent to the body. An embodiment of the invention is an adaptive CRT device performing biventricular pacing in which the AV delay and VV interval parameters are changed dynamically according to the information supplied by the IEGM, hemodynamic sensor and online processed data, in order to achieve optimal hemodynamic performance.A learning module, preferably using artificial neural network, performs the adaptive part of the algorithm supervised by an algorithmic deterministic module, internally or externally from the implanted pacemaker or defibrillator.",2010-02-02,7657313,Adaptive cardiac resynchronization therapy system
"An adaptive feed-back controlled system for regulating a physiological function of a heart in which a hemodynamic sensor continuously monitors the physiological performance of the heart. Three implanted electrodes sense and pace the right atrial, right ventricle and left ventricle. A learning neural network module receives and processes information for the electrodes (18) and sensors (22), and is controlled by a deterministic module for limiting said learning module. A pulse generator (16), is also controlled by the deterministic module, and stimulates both the heart and the vagus (20).",2011-02-22,7894902,Adaptive cardiac resyncronization therapy and vagal stimulation system
"A neural network including a plurality of sub-nets stored in a memory array and a method of operation. Each of the sub-nets includes a corresponding plurality of weights and is individually operable to classify an input vector. A computation unit, including a distance calculation unit and a math unit, is responsive to an input vector comprising input training features for determining a distance between the weights of each sub-net to each of the input features of the input vector and for determining whether the distance is within a particular region of influence. Also described is a parallel process for training the sub-nets.",1997-12-23,5701398,Adaptive classifier having multiple subnetworks
"An adaptive packet mechanism and method for optimizing data packet transmission through a network connection between a sending node and a receiving node. Current network conditions in the connection are periodically determined wherein the network conditions pertain to the latency and jitter of packet transmission between the sending node and receiving node. The measurements of latency and jitter are used to determine an optimum packet size and an optimum inter-packet interval for transmission of packet data between the sending node and the receiving node and are used in the transmission of data packets from the sending node to the receiving node. Network conditions may be determined by transmission of monitor or data packets and may be determined at either or both of the sending or receiving nodes and the optimum packet size and inter-packet interval are determined by a fuzzy logic analyzer, a neural network analyzer or a combined fuzzy logic/neural network analyzer.",2006-03-14,7012893,Adaptive control of data packet size in networks
"This invention relates a control strategy for a hybrid electric vehicle having an electric motor, a battery and an internal combustion engine. The control strategy improves fuel economy and reduces emissions while providing sufficient acceleration over a varying set of driving conditions through an adaptive control unit with an artificial neural network. The artificial neural network is trained on a pre-processed training set based on the highest fuel economies of multiple control strategies and multiple driving profiles. Training the artificial neural network includes a training algorithm and a learning algorithm. The invention also includes a method of operating a hybrid electric vehicle with an adaptive control strategy using an artificial neural network.",2011-06-07,7954579,Adaptive control strategy and method for optimizing hybrid electric vehicles
"An adaptive control system (ACS) uses direct output feedback to control a plant. The ACS uses direct adaptive output feedback control developed for highly uncertain nonlinear systems, that does not rely on state estimation. The approach is also applicable to systems of unknown, but bounded dimension, whose output has known, but otherwise arbitrary relative degree. This includes systems with both parameter uncertainty and unmodeled dynamics. The result is achieved by extending the universal function approximation property of linearly parameterized neural networks to model unknown system dynamics from input/output data. The network weight adaptation rule is derived from Lyapunov stability analysis, and guarantees that the adapted weight errors and the tracking error are bounded.",2005-06-07,6904422,Adaptive control system having direct output feedback and related apparatuses and methods
"An adaptive control system (ACS) uses direct output feedback to control a plant. The ACS uses direct adaptive output feedback control developed for highly uncertain nonlinear systems, that does not rely on state estimation. The approach is also applicable to systems of unknown, but bounded dimension, whose output has known, but otherwise arbitrary relative degree. This includes systems with both parameter uncertainty and unmodeled dynamics. The result is achieved by extending the universal function approximation property of linearly parameterized neural networks to model unknown system dynamics from input/output data. The network weight adaptation rule is derived from Lyapunov stability analysis, and guarantees that the adapted weight errors and the tracking error are bounded.",2008-08-26,7418432,Adaptive control system having direct output feedback and related apparatuses and methods
A neural network demodulator is used within a receiver to provide Inter Symbol Interference (ISI) channel equalization and to correct for I/Q/phase imbalance. The neural network is trained with a single integrated training step to simultaneously handle the channel impairments of ISI equalization and I/Q phase imbalance as opposed to prior art methods of separately addressing each channel impairment in sequence.,2017-01-24,9553741,Adaptive demodulation method and apparatus using an artificial neural network to improve data recovery in high speed channels
"A channel equalizer is formed using a self-learning neural network. During a training period, the neural network is taught the channel response function. The network is then used to equalize distortions introduced into signals by the channel. The neural network may be a Boltzmann Machine type of neural network comprising neurons arranged in an input layer, a hidden layer, and an output layer. The neurons are interconnected by bidirectional symmetric weighted synapses. Each neuron is preferably implemented by an analog integrated circuit. Direct communication between the input and output layers helps in faster channel acquisition. The scheme can very easily be extended to multilevel and multisymbol modulation schemes such as QAM and PSK.",1996-04-02,5504780,Adaptive equalizer using self-learning neural network
"An adaptive filtering neural network classifier for classifying input signals, includes a neural network and one or more adaptive filters for receiving input analog signals to be classified and generates inputs for the classifier. Each adaptive filter is characterized as having a predetermined number of operating parameters. An analog to digital converter converts each input signal into a digital signal before input to the neural network. The neural network processes each digital signal to generate therefrom a plurality of weighted output signals in accordance with the type of network implemented. One of the weighted output signals represents a class for the input signal, and an error signal representing a difference between the weighted output signals and a predetermined desired output is also generated by the network. A control device responsive to the error signal generates a further set of operating filter parameters for input to each of the adaptive filters to change the operating response thereof and minimize the error signal.",1998-06-02,5761383,Adaptive filtering neural network classifier
"A job scheduler makes decisions concerning the order and frequency of access to a resource according to a substantially optimum delay cost function. The delay cost function is a single value function of one or more inputs, where at least one of the inputs is a delay time which increases as a job waits for service. The job scheduler is preferably used by a multi-user computer operating system to schedule jobs of different classes. The delay cost functions are preferably implemented by neural networks. The user specifies desired performance objectives for each job class. The computer system runs for a specified period of time, collecting data on system performance. The differences between the actual and desired performance objectives are computed, and used to adaptively train the neural network. The process repeats until the delay cost functions stabilize near optimum value. However, if the system configuration, workload, or desired performance objectives change, the neural network will again start to adapt.",1995-08-15,5442730,Adaptive job scheduling using neural network priority functions
"A neural network module including an input layer having one or more input nodes arranged to receive input data, a rule base layer having one or more rule nodes, an output layer having one or more output nodes, and an adaptive component arranged to aggregate selected two or more rule nodes in the rule base layer based on the input data, an adaptive learning system having one or more of the neural network modules, related methods of implementing the neural network module and an adaptive learning system, and a neural network program.",2006-08-08,7089217,Adaptive learning system and method
"A control system for controlling the output of at least one plant process output parameter is implemented by adaptive model predictive control using a neural network. An improved method and apparatus provides for sampling plant output and control input at a first sampling rate to provide control inputs at the fast rate. The MPC system is, however, provided with a network state vector that is constructed at a second, slower rate so that the input control values used by the MPC system are averaged over a gapped time period. Another improvement is a provision for on-line training that may include difference training, curvature training, and basis center adjustment to maintain the weights and basis centers of the neural in an updated state that can follow changes in the plant operation apart from initial off-line training data.",1997-08-19,5659667,Adaptive model predictive process control using neural networks
"An adaptive, or neural, network and a method of operating the same is disclosed which is particularly adapted for performing first break analysis for seismic shot records. The adaptive network is first trained according to the generalized delta rule. The disclosed training method includes selection of the seismic trace with the highest error, where the backpropagation is performed according to the error of this worst trace. The learning and momentum factors in the generalized delta rule are adjusted according to the value of the worst error, so that the learning and momentum factors increase as the error decreases. The training method further includes detection of slow convergence regions, and methods for escaping such regions including restoration of previously trimmed dormant links, renormalization of the weighting factor values, and the addition of new layers to the network. The network, after the addition of a new layer, includes links between nodes which skip the hidden layer. The error value used in the backpropagation is reduced from that actually calculated, by adjusting the desired output value, in order to reduce the growth of the weighting factors. After the training of the network, data corresponding to an average of the graphical display of a portion of the shot record, including multiple traces over a period of time, is provided to the network. The time of interest of the data is incremented until such time as the network indicates that the time of interest equals the first break time. The analysis may be repeated for all of the traces in the shot record.",1993-01-19,5181171,Adaptive network for automated first break picking of seismic refraction events and method of operating the same
"A method of operating an adaptive, or neural, network is disclosed for performing first break analysis for seismic shot records. The adaptive network is first trained according to the generalized delta rule. The disclosed training method includes selection of the seismic trace with the highest error, where the backpropagation is performed according to the error of this worst trace. The learning and momentum factors in the generalized delta rule are adjusted according to the value of the worst error, so that the learning and momentum factors increase as the error decreases. The training method further includes detection of slow convergence regions, and methods for escaping such regions including restoration of previously trimmed dormant links, renormalization of the weighting factor values, and the addition of new layers to the network. The network, after the addition of a new layer, includes links between nodes which skip the hidden layer. The error value used in the backpropagation is reduced from that actually calculated, by adjusting the desired output value, in order to reduce the growth of the weighting factors. After the training of the network, data corresponding to an average of the graphical display of a portion of the shot record, including multiple traces over a period of time, is provided to the network. The time of interest of the data is incremented until such time as the network indicates that the time of interest equals the first break time. The analysis may be repeated for all of the traces in the shot record.",1998-04-21,5742740,Adaptive network for automated first break picking of seismic refraction events and method of operating the same
"An Adaptive Network For In-Band Signal Separation (26) and method for providing in-band separation of a composite signal (32) into its constituent signals (28), (30). The input to the network (26) is a series of sampled portions of the composite signal (32). The network (26) is trained with at least one of said composite signals (28) (30) using a neural network training paradigm by presenting one or more of the constituent signals (28) (30) to said network (28). The network (26) may be used to separate multiple speech signals from a composite signal from a single sensor such as a microphone.",1992-09-22,5150323,Adaptive network for in-band signal separation
"A neural-simulating system for processing input stimuli includes a plurality of layers, each layer receives layer input signals and generates layer output signals, the layer input signals include signals from the input stimuli and ones of the layer output signals from only previous layers within the plurality of layers. Each of the plurality of layers includes a plurality of neurons operating in parallel on the layer input signals applied to the plurality of layers. Each of the neurons derives neuron output signals from a continuously differentiable transfer function for each of the neurons based upon a combination of sets of weights associated with the neurons and the layer input signals. An adaptive network is associated with each neuron for generating weight correction signals based upon gradient estimate signals and convergence factors signals of each neuron and for processing the weight correction signals to thereby modify the weights associated with each neuron. An error measuring circuit generates relative powered error signals for use in generating the gradient estimate signals and the convergence factors signals.",1992-04-21,5107442,Adaptive neural network image processing system
